username,mean_rating,std_dev_rating,min_rating,max_rating,game_count
TedBelanoff,2394.0,,2394,2394,1
Teigertje,2338.0,,2338,2338,1
TestingIsFun,2326.0,,2326,2326,1
TheChessguy,2232.0,,2232,2232,1
TheKingOfTheForest,2272.25,37.32179881338336,2244,2327,4
TheNextWCmp,2350.3333333333335,15.821925715074487,2333,2364,3
TheOneAndOnlyHedgie,2187.0,,2187,2187,1
TheSunnysideBull,2234.0,,2234,2234,1
TheUltimateResoNITE05,2181.0,,2181,2181,1
TheVish,2523.0,,2523,2523,1
The_Laminator,2350.5714285714284,11.559370554621283,2334,2367,7
Thefirstharry,2179.0,,2179,2179,1
Tigra_m,2299.0,,2299,2299,1
Tkedar,2253.0,,2253,2253,1
ToXicAnton,2310.0,,2310,2310,1
Tomioka-Giyuu-Japan,2210.0,,2210,2210,1
Tommy2555,2279.0,5.656854249492381,2275,2283,2
Tonisub,2245.0,4.242640687119285,2242,2248,2
TopMagnet,2173.0,,2173,2173,1
Torian78,2179.5,23.33452377915607,2163,2196,2
TranJMinh,2833.0,,2833,2833,1
TuronProfe,2201.0,,2201,2201,1
Tuz250306,2305.0,2.8284271247461903,2303,2307,2
Uitvreter,2180.0,,2180,2180,1
UnJugadorMas3,2357.0,,2357,2357,1
Underpromotion3,2267.0,,2267,2267,1
Ursve,2383.0,,2383,2383,1
VasilijeG,2202.0,,2202,2202,1
VassKas,2390.0,,2390,2390,1
Viktor2167,2209.0,,2209,2209,1
Vinyana,2170.3333333333335,3.7859388972002477,2166,2173,3
VonPepper,2212.0,,2212,2212,1
Vujan1,2231.5,7.7781745930520225,2226,2237,2
Vyzmanavin,2412.5,5.802298395176403,2405,2419,4
WhoWantsToLose,2483.0,,2483,2483,1
WillStompNoobs,2250.0,,2250,2250,1
Winnesa,2402.0,,2402,2402,1
Wotgenie,2308.0,,2308,2308,1
WrHeisenberg,2229.0,,2229,2229,1
XDPS,2760.0,,2760,2760,1
Yalebad,2255.0,,2255,2255,1
Yoda2002,2317.0,14.142135623730951,2307,2327,2
YouMakeMeLookGood,2206.0,,2206,2206,1
Yusta22,2160.0,,2160,2160,1
ZadolyaDmitry,2230.0,,2230,2230,1
Zboev,2235.0,5.656854249492381,2231,2239,2
Zemerovv,2250.0,,2250,2250,1
Zetafunction0,2250.0,,2250,2250,1
Zibrak,2297.8333333333335,5.344779384283854,2291,2305,6
ZverevLev,2311.0,,2311,2311,1
aansel,2384.0,,2384,2384,1
aaronlandesman,2329.0,,2329,2329,1
abvk,2301.0,,2301,2301,1
adam657,2545.0,,2545,2545,1
adampp93,2280.5,5.540758070878057,2274,2289,6
adi_tm1996,2219.0,,2219,2219,1
adis1210,2309.0,9.327379053088967,2293,2321,7
adolfschulz,2169.6666666666665,8.621678104251657,2162,2179,3
adriano2510,2209.0,,2209,2209,1
adrillia,2187.0,,2187,2187,1
agg69,2166.0,,2166,2166,1
ahnaz84,2265.0,,2265,2265,1
ajedrez-facil,2193.0,11.313708498984761,2185,2201,2
akashcheck,2276.0,,2276,2276,1
akgshj2002,2351.125,8.45893441448589,2341,2364,8
albertasj,2282.0,,2282,2282,1
aleir,2191.0,,2191,2191,1
alej9812,2230.0,6.324555320336759,2222,2238,5
aleks_0,2463.0,,2463,2463,1
alex_zapata,2281.0,,2281,2281,1
alexblac940,2168.0,,2168,2168,1
alibaba66_66,2327.0,,2327,2327,1
aliojin32,2207.0,,2207,2207,1
allexo,2334.0,,2334,2334,1
almasmaximus,2181.0,,2181,2181,1
alster33,2180.0,,2180,2180,1
alturas_pacificas,2263.0,,2263,2263,1
alucard002,2317.0,,2317,2317,1
amitdhumal2803,2207.1428571428573,11.036735197037297,2192,2223,7
angamarcacarlos_83,2174.5,7.7781745930520225,2169,2180,2
angryspacevoid,2183.5,0.7071067811865476,2183,2184,2
antiego,2212.0,,2212,2212,1
arashnyc1,2169.0,,2169,2169,1
armin582,2188.0,,2188,2188,1
arnavgm1758,2160.0,,2160,2160,1
asinnott1,2334.0,,2334,2334,1
asmp,2180.0,,2180,2180,1
atit_g,2200.0,4.242640687119285,2197,2203,2
avatar_chesspaguat,2160.0,,2160,2160,1
avivgrer,2186.0,,2186,2186,1
ayaend,2171.0,,2171,2171,1
babis1223,2258.0,,2258,2258,1
banane_verte,2432.5,6.363961030678928,2428,2437,2
baranguniku,2162.0,,2162,2162,1
bebechesstr,2482.0,,2482,2482,1
beginner2626,2407.0,,2407,2407,1
beginnersluck666,2206.0,,2206,2206,1
berniecc,2246.0,,2246,2246,1
bestatcheckers7,2217.0,,2217,2217,1
bigglizzyy,2285.3333333333335,51.39390365922147,2238,2340,3
billy_da_butcher,2249.5,44.54772721475249,2218,2281,2
bishopsac,2536.0,,2536,2536,1
bkwwbk,2164.0,,2164,2164,1
blackhorse0909,2266.0,,2266,2266,1
blanca123,2163.0,,2163,2163,1
bong_anas,2355.0,6.164414002968927,2347,2362,4
btarhon2001,2331.0,,2331,2331,1
bughouse69,2200.0,,2200,2200,1
bulan5,2165.0,,2165,2165,1
bwalmer,2471.0,,2471,2471,1
calin_dragomirescu,2256.0,,2256,2256,1
carbon64,2214.0,,2214,2214,1
