username,game_count,elo
PatriVasco,8,1435.0
MrBoone6,8,985.0
RicardoFT45,8,1656.0
qd8OTP,8,2594.0
Alex11954,7,1044.0
kobemagic,7,2372.0
smily99,7,2051.0
Resourchess,7,2414.0
imweirdomo,7,1846.0
InTheRoute66,7,2410.0
tka3,7,2350.0
Ahmdnjr12512,7,2229.0
erkebay2016,7,2001.0
molinajesus2801,7,2359.0
DaniloBesedes,7,2475.0
ChessAres07,7,2339.0
DrJELee,7,2099.0
Clavis,7,2174.0
chunkymonkey,7,1806.0
RomanSteblovskyi,7,2054.0
markos6sei4466,7,1885.0
allansuresh7,7,1207.0
BarakSaltz,7,1921.0
paragonwarrior,7,1645.0
ehabsabrysalama,7,811.0
ac80,7,1697.0
bkmy43,7,1043.0
kdfrbsat,7,1691.0
Rambo-Terminator,7,2478.0
josefghng,7,2463.0
antiblic,7,1613.0
trickstarplayer,7,1025.0
phoaming,7,1788.0
Guzman70,7,2288.0
ERIKMANDRAX,7,1507.0
Cloudy96,7,1247.0
AymanKING0,7,2179.0
LazaridiDaniil,7,1278.0
Grong10,7,1425.0
y4k2,7,1828.0
miki_train,7,2626.0
lunablues,7,1192.0
MatOlmaAma,7,2129.0
paoulao,7,2019.4285714285713
Apjoshua,7,2609.0
hoklim,7,2095.0
salar2552,7,2145.0
maxkho2,7,2280.0
GikoChess,7,1715.0
jomarag,7,2392.0
Makhsum_Bozorov,7,2477.0
laurentares,7,1075.0
Serhii_Makukha,7,1564.0
Lena8892,7,2310.0
EduardMelcher,7,1513.0
Omar_2219,7,941.0
Koreschikov_Maxim,7,2276.0
germengerritsma,7,734.0
tuzibaba,7,2416.0
shahidmoten,7,1435.0
alextihoretsk,7,2348.0
NoOneKnows123,7,2131.0
Fifty_ema,7,1481.0
Bdazzy,7,918.0
pekait,7,1896.0
Dmitry_Shubin,7,2212.0
madra005,7,2317.0
Oliverjdl,7,1259.0
Coach_of_Champions,7,2216.0
Gelfand44,7,1927.0
fg_CVtraining,7,2179.0
Lintchevski_Daniil,7,2938.0
ivanjim,7,1815.0
projetomf2024,7,2165.0
Jrussell8,7,1567.0
Jaqueline142,7,2209.0
MagicalChess-YouTube,7,1991.0
andreygabi,7,1543.0
Hector0201,7,1020.0
Artmn09,7,1989.0
lightln2,7,1883.0
supertanya,7,1272.7142857142858
Aykob,7,1311.0
mhossni,7,1324.0
Jazzyjef,7,2656.0
Alexmoseby,7,2115.0
jfeigh01,7,1470.0
Kombinattor01,7,2360.0
drunkchess69420,7,2052.0
G0DZILLA,7,2669.0
MartinPupsik,7,2450.0
Chesssknock,7,2698.0
roma1375,7,1685.0
BrokenArrow827,7,2075.0
axelg123,7,1244.0
HollowFabio,7,1972.0
sn_ch,7,1438.0
Bload35,7,2033.0
anon-chess-player,7,1549.0
halberdier77,7,2321.0
Stockfish-Android,7,2070.0
Luciddreamss,7,2484.0
gardenvariety,7,1791.0
Igrok_V_Proshlom,7,2588.0
S_353480,7,2149.0
Mico_Jevdjo44,7,1842.0
thibor,7,1179.0
Kvasart,7,2177.0
kravchenkoag,7,1509.0
magho,7,2354.0
turulbird,7,1656.0
Glov52,7,2077.0
Dnestrovec,7,1381.0
samnolen,7,1649.0
hoviedo45,7,1908.0
skoyen99,7,2239.0
Aleks0804,7,2058.0
Anatoly_O,7,1225.0
MojtabaNematizad62,7,2102.0
igmikh,7,1579.0
readingpainbow,7,1715.0
fsm666fsm,7,2330.0
soorya1,7,1422.2857142857142
mychesslogin,7,1118.0
JustFish_Fry,7,1513.0
Abdulraqeb,7,2091.0
kojikabuto,7,2288.0
Pastukhov_Nicolay,7,2460.0
Pawnstructures,7,2148.0
neibulasiren,7,1895.0
Molsky,7,2337.0
GregBob7,7,1387.0
MartaCramling,7,1241.0
CaptainTeddy,7,1605.0
Ivanoblitz,7,2556.0
BORIS_SAMUEL,7,2065.0
Dyeuz,7,2258.0
myownkid,7,1036.0
frisbeefreek,7,1683.0
kurd1990,7,2237.0
Derreteu1234,7,2010.0
Riandi_kotabanjar,7,2009.0
salama122,7,2180.0
Motroskin,7,1743.0
KAMedvedev,7,1508.0
Idrisova_Roza,7,2160.0
JLEnamorado,7,1972.0
orlando70,7,2350.0
enripg,7,1085.0
Anamorphic,7,2219.0
DrOrfeo,7,2335.0
tedypm,7,1726.0
sebcoe8,7,1241.0
rdarruda,7,2507.0
dbratic1,7,1431.0
Otorongo_Jaguar,7,1339.0
youncore,7,2137.0
EdgarPetrovich,7,2366.0
Hyper_Beam,7,1616.0
theater,7,2076.0
Oburg007,7,2390.0
schachmitk,7,1244.0
Chessplayer1541,7,1178.0
vsevolotti,7,2025.0
Ben_9000,7,1866.0
stockfish-android,7,2081.0
tomcio1986,7,2176.0
olvap,7,1783.0
MAHanif,7,2298.0
Furious_pawn,7,1933.0
Dmitry_Gritsenko,7,2510.0
schachnovellist,7,1518.0
LucaRafterxd,7,2326.0
maxximmillian,7,1300.0
vk331,7,2106.0
Quantum_Graviton,7,1814.0
ImmortalImmortelle,7,2315.0
Olenahess,7,2211.0
Lansergejj,7,1869.0
Dasha_Mikrukova,7,1588.0
Gonzaga22,7,2491.0
r2d2w2,7,2322.0
Grom757,7,1395.0
Kemtel,7,1838.0
TheImpasha21,7,2137.0
EventHorizonNeptune,7,2420.0
korre1234,7,1191.0
Cocowawa,6,2352.0
chandra_238,6,1340.0
df2397,6,1911.0
carefulnow,6,2361.0
einkleinerbauer,6,1102.0
olimo,6,1156.0
Renegade_247,6,2041.0
PAQUETOVIC,6,1962.0
Neverstopberserk,6,2121.0
Ergistal,6,1712.0
nlester2,6,1481.0
gsoppe,6,2402.0
LAKnight,6,1235.0
Peristeria,6,2346.0
anubhav1019,6,1912.0
fluse,6,1836.0
Jossbros,6,2462.0
baldrunner,6,590.0
Buhmann,6,2764.0
arbez,6,1019.0
Sergey_Averchenko,6,2101.0
gambiitti,6,1398.0
mrZt,6,948.0
El_Justiciero,6,1973.0
zashem,6,1911.1666666666667
kcsuther,6,1334.0
todag,6,1766.0
herve-91-fr,6,1241.0
Bongy_clay,6,1661.0
K5221305D,6,1771.0
lllIllIlIIIlllI,6,964.0
sameer1964,6,944.0
ajam73,6,2178.0
Dandidan,6,1887.0
jmorasso,6,2160.0
Mzy2020,6,1699.0
KenannaneK,6,1649.0
MadMaliflow,6,1985.0
JayCee59,6,1566.1666666666667
Rezaesfahan,6,1662.0
chargemax23,6,2704.0
Grosse_Tartine,6,1587.0
renanreis,6,2324.0
Babola73,6,1899.0
arthurmizen,6,1156.5
kebabconsumer35,6,2024.3333333333333
Kenth17,6,1381.0
alvagen,6,1231.0
dR_AcmE_IsmE,6,1726.0
almaisky,6,1353.0
MasterDQ,6,1224.0
dobeli,6,1506.0
Abdulrhmanabugadi,6,1874.0
Mozartus,6,2472.0
Pawara_RC,6,2027.0
Faronchetto,6,1754.0
sugar_cranberries,6,1435.0
ALEKSANDROV73,6,2653.0
mikepereverzev,6,1822.0
Hard_Utilizator,6,2407.0
Flegz,6,1352.0
Artsahiti,6,2052.0
DonnaO,6,1425.0
Pret_Endgame,6,1422.0
framoiz,6,2296.0
Evgeniy-MSK,6,1735.0
swagmastermessiah,6,1666.0
alexeygr,6,2237.0
caajmer,6,2198.0
prostovolkov,6,2277.0
Mikheev-76,6,2340.0
svjatenko,6,1526.5
Klimenko_Sergey_IM,6,2428.0
berke2012,6,1772.0
drahmedsalem,6,2283.0
verdepicchio,6,968.0
Ganzin,6,2701.0
Baron523,6,1289.0
jijosjimal,6,2314.0
Night_Stranger81,6,1458.0
tamojerry,6,2701.0
Tronic2000,6,2606.0
sdibu,6,1402.0
CHESSERISTA,6,1163.0
Michail84,6,941.5
jaredp2011,6,1830.0
MEDLEMINE2002,6,1919.0
mrdenjak,6,1052.0
rana_eridani,6,1033.0
HomeAp,6,2567.0
Shapsha,6,2140.0
SBERO555,6,2101.0
sillymanofwar,6,2326.0
aVague,6,1872.0
DixieFixie,6,1904.0
Apucija,6,2419.6666666666665
ded107,6,1321.8333333333333
Bunkerrat,6,1980.0
bancolombia,6,2205.0
jheChess101,6,1640.0
brigolistanbul,6,1650.0
Fishman90,6,962.0
Mazitor,6,2292.0
Getafix23,6,1084.0
emanneulg,6,1847.0
MariaBolkonskaya,6,2580.0
bondeknoel,6,1861.0
syderbergparsifal,6,2136.0
NeumolotovIvan,6,2454.0
B3gh0x7,6,1495.0
nilete,6,2304.0
CakeinSpace2002,6,2542.0
titan00013,6,2811.0
VadimCernov,6,2583.0
stumart,6,1774.0
elioAl,6,1594.0
KevinPaveto,6,2701.0
BorjaChessKing,6,1714.0
ChessOak,6,1801.0
korzhara,6,1903.0
